Id,MU2020,MU2015,MU2010,MU2005,MU2000,MU1995,MU1990
6337,1,1,1,1,1,1,0
6470,1,1,0,0,0,0,0
6471,1,1,0,0,0,0,0
6472,1,1,1,1,1,1,0
6473,1,1,1,1,1,1,0
6474,1,1,0,0,0,0,0
6475,1,1,0,0,1,1,0
6476,1,0,0,0,0,0,0
6477,1,0,0,0,0,0,0
6478,1,0,0,0,0,0,0
6479,1,0,0,0,0,0,0
6480,1,0,0,0,0,0,0
6481,1,0,0,0,0,0,0
6491,1,1,1,1,1,1,0
6492,1,1,1,1,1,1,0
6493,1,1,1,1,1,1,1
6494,1,1,1,1,1,1,1
6495,1,1,1,1,1,1,1
6496,1,1,1,1,1,1,1
6497,1,1,1,1,1,1,1
6498,1,1,1,1,1,1,1
6499,1,1,1,1,1,1,1
6500,1,1,1,1,1,1,1
6501,1,1,1,1,1,1,1
6502,1,1,1,1,1,1,1
6503,1,1,1,1,1,0,1
6508,1,1,1,1,1,1,0
6509,1,1,1,1,1,1,0
6510,1,1,1,1,1,1,0
6642,1,0,0,0,0,0,0
6643,1,1,0,0,0,0,0
6644,1,1,0,0,0,0,0
6645,1,1,1,1,1,1,0
6646,1,1,1,1,1,1,1
6647,1,1,0,0,0,0,0
6648,1,0,0,0,0,0,0
6649,1,0,0,0,0,0,0
6650,1,0,0,0,0,0,0
6651,1,0,0,0,0,0,0
6652,1,0,0,0,0,0,0
6653,1,0,0,0,0,0,0
6654,1,1,0,0,0,0,0
6655,1,1,0,0,0,0,0
6665,1,0,0,0,0,0,0
6666,1,1,1,1,0,0,0
6667,1,1,1,1,1,1,1
6668,1,1,1,1,1,1,1
6669,1,1,1,1,1,1,1
6670,1,1,1,1,1,1,1
6671,1,1,1,1,1,1,1
6672,1,1,1,1,1,1,1
6673,1,1,1,1,1,1,1
6674,1,1,1,1,1,1,1
6675,1,1,1,1,1,1,1
6676,1,1,1,1,1,0,0
6677,1,1,0,0,0,0,0
6681,1,1,1,1,1,1,0
6682,1,1,1,1,1,1,0
6683,1,1,1,1,1,1,0
6684,1,1,1,1,1,1,0
6689,1,1,0,0,0,0,0
6690,1,1,0,0,0,0,0
6814,1,0,0,0,0,0,0
6815,1,1,1,0,0,0,0
6816,1,1,1,0,0,0,0
6817,1,1,1,0,0,0,0
6818,1,1,1,1,1,1,1
6819,1,1,1,1,1,1,1
6820,1,1,1,1,1,1,1
6821,1,1,1,1,0,0,0
6822,1,1,1,1,0,0,0
6823,1,0,0,0,0,0,0
6824,1,0,0,0,0,0,0
6825,1,1,0,0,0,0,0
6826,1,1,0,0,0,0,0
6827,1,1,0,0,0,0,0
6828,1,1,0,0,0,0,0
6829,1,0,0,0,0,0,0
6830,1,0,0,0,0,0,0
6838,1,1,1,1,0,0,0
6839,1,1,1,1,1,0,0
6840,1,1,1,1,1,1,1
6841,1,1,1,1,1,1,1
6842,1,1,1,1,1,1,1
6843,1,1,1,1,1,1,1
6844,1,1,1,1,1,1,1
6845,1,1,1,1,1,1,1
6846,1,1,1,1,1,1,1
6847,1,1,1,1,1,1,1
6848,1,1,1,1,1,1,1
6849,1,1,1,1,1,0,0
6850,1,1,0,0,0,0,0
6855,1,1,1,1,1,1,0
6856,1,1,1,1,1,1,0
6862,1,1,0,0,0,0,0
6863,1,1,1,0,0,0,0
6864,1,1,1,0,0,0,0
6987,1,0,0,0,0,0,0
6988,1,1,1,0,0,0,0
6989,1,1,1,0,0,0,0
6990,1,1,1,0,0,0,0
6991,1,1,1,1,1,1,1
6992,1,1,1,1,1,1,1
6993,1,1,1,1,1,1,1
6994,1,1,1,1,0,0,0
6995,1,1,1,1,0,0,0
6996,1,1,1,1,0,0,0
6997,1,1,1,0,0,0,0
6998,1,1,1,0,0,0,0
6999,1,1,1,0,0,0,0
7000,1,1,0,0,0,0,0
7001,1,1,0,0,0,0,0
7002,1,1,0,0,0,0,0
7003,1,0,0,0,0,0,0
7012,1,1,1,1,1,0,0
7013,1,1,1,1,1,0,0
7014,1,1,1,1,1,1,1
7015,1,1,1,1,1,1,1
7016,1,1,1,1,1,1,1
7017,1,1,1,1,1,1,1
7018,1,1,1,1,1,1,1
7019,1,1,1,1,1,1,1
7020,1,1,1,1,1,1,1
7021,1,1,1,1,1,1,1
7022,1,1,1,1,0,0,0
7023,1,1,0,0,0,0,0
7036,1,1,1,0,0,0,0
7037,1,1,1,0,0,0,0
7150,1,1,0,0,0,0,0
7151,1,1,0,0,0,0,0
7160,1,0,0,0,0,0,0
7161,1,1,1,0,0,0,0
7162,1,1,1,0,0,0,0
7163,1,1,1,0,0,0,0
7164,1,1,1,1,0,0,0
7165,1,1,1,1,0,0,0
7166,1,1,1,1,0,0,0
7167,1,1,1,1,0,0,0
7168,1,1,1,1,0,0,0
7169,1,1,1,1,0,0,0
7170,1,1,1,1,0,0,0
7171,1,1,1,0,0,0,0
7172,1,1,1,0,0,0,0
7173,1,1,1,0,0,0,0
7174,1,1,1,0,0,0,0
7175,1,1,0,0,0,0,0
7176,1,1,0,0,0,0,0
7185,1,1,1,1,1,0,0
7186,1,1,1,1,1,1,0
7187,1,1,1,1,1,1,1
7188,1,1,1,1,1,1,1
7189,1,1,1,1,1,1,1
7190,1,1,1,1,1,1,1
7191,1,1,1,1,1,1,1
7192,1,1,1,1,1,1,1
7193,1,1,1,1,1,1,1
7194,1,1,1,1,1,1,1
7195,1,1,1,0,0,0,0
7196,1,1,1,0,0,0,0
7210,1,1,1,0,0,0,0
7211,1,1,1,0,0,0,0
7323,1,1,0,0,0,0,0
7324,1,1,0,0,0,0,0
7325,1,1,0,0,0,0,0
7326,1,1,0,0,0,0,0
7327,1,1,0,0,0,0,0
7328,1,1,0,0,0,0,0
7329,1,1,0,0,0,0,0
7333,1,0,0,0,0,0,0
7334,1,1,1,0,0,0,0
7335,1,1,1,0,0,0,0
7336,1,1,1,0,0,0,0
7337,1,1,1,1,0,0,0
7338,1,1,1,1,0,0,0
7339,1,1,1,1,0,0,0
7340,1,1,1,1,0,0,0
7341,1,1,1,1,0,0,0
7342,1,1,1,1,0,0,0
7343,1,1,1,1,0,0,0
